QualID,UnitID
423,961
423,960
423,959
423,977
423,962
423,963
423,965
423,966
423,967
423,968
423,956
423,957
423,958
423,973
423,974
423,969
416,589
416,590
416,625
416,626
416,627
416,628
416,629
416,630
416,634
416,635
416,636
416,637
416,638
416,639
63,551
63,556
63,553
63,552
63,554
63,555
63,557
63,558
63,559
63,550
63,563
63,564
63,560
63,549
63,732
66,527
66,526
66,524
66,517
66,521
66,518
66,523
66,519
66,525
66,522
415,565
415,566
415,567
415,571
415,568
415,569
415,570
415,572
415,573
415,574
415,575
485,589
485,590
485,625
485,626
485,627
485,628
485,629
485,630
485,634
485,635
485,636
485,637
485,638
485,639
497,527
497,526
497,524
497,517
497,521
497,518
497,523
497,519
497,525
497,522
502,517
502,518
502,519
502,521
502,522
502,523
502,524
502,525
502,526
502,527
511,565
511,566
511,567
511,568
511,569
511,570
511,571
511,572
511,573
511,574
511,575
512,565
512,566
512,567
512,568
512,569
512,570
512,571
512,572
512,573
512,574
512,575
564,556
564,553
564,552
564,554
564,555
564,557
564,558
564,559
564,550
564,563
564,564
564,560
564,549
564,732
564,1104
417,593
417,594
417,596
417,597
417,598
64,551
64,552
64,553
64,554
64,555
64,557
64,558
64,549
64,559
64,556
64,560
64,564
64,550
64,563
419,599
419,600
419,601
419,602
419,603
419,604
419,606
419,607
419,608
468,593
468,594
468,596
468,597
468,598
470,599
470,600
470,601
470,602
470,603
470,604
470,606
470,607
470,608
470,983
470,982
595,549
595,550
595,551
595,552
595,553
595,554
595,555
595,556
595,557
595,558
595,559
595,560
595,563
595,564
595,732
623,593
623,986
623,987
623,988
623,989
623,990
623,991
623,992
623,993
623,994
623,995
623,996
623,997
640,1172
640,1173
640,1174
640,1175
640,1176
640,1177
640,1178
640,1179
640,1180
640,1181
641,1176
641,1177
641,1180
641,1188
641,1189
641,1190
641,1191
641,1192
641,1193
641,1194
641,1195
641,1196
641,1197
643,1174
643,1180
643,1189
643,1190
643,1192
643,1193
643,1198
422,619
422,620
422,621
422,984
469,619
469,620
469,621
469,984
601,619
601,620
601,621
601,984
28,74
28,158
28,159
28,160
28,161
28,162
28,163
28,726
41,74
41,138
41,139
41,140
41,143
41,144
41,654
41,1152
41,1153
47,271
47,272
47,273
47,274
47,275
47,276
47,576
52,323
52,324
52,325
52,326
52,327
52,328
52,329
52,330
53,326
53,323
53,324
53,329
53,325
53,330
53,327
53,328
75,59
75,60
75,61
75,62
75,63
75,64
75,65
76,59
76,60
76,548
76,61
76,547
76,62
76,63
87,56
87,57
87,58
87,609
87,610
87,611
87,612
