family,trackinglevel,subtype,grade,ucaspoints,upperscore,lowerscore,ranking
BTEC,"Level 3","Extended Diploma",MMM/MMP,226.6,NULL,NULL,3.6
BTEC,"Level 3","Extended Diploma",MMP/MMM,213.3,NULL,NULL,3.3
BTEC,"Level 3","Extended Diploma",MMP,200.0,NULL,NULL,3.0
BTEC,"Level 3","Extended Diploma",MMP/MPP,186.6,NULL,NULL,2.6
BTEC,"Level 3","Extended Diploma",MPP/MMP,173.3,NULL,NULL,2.3
BTEC,"Level 3","Extended Diploma",MPP,160.0,NULL,NULL,2.0
BTEC,"Level 3","Extended Diploma",MPP/PPP,146.6,NULL,NULL,1.6
BTEC,"Level 3","Extended Diploma",PPP/MPP,133.3,NULL,NULL,1.3
BTEC,"Level 3","Extended Diploma",PPP,120.0,NULL,NULL,1.0
BTEC,"Level 3","Foundation Diploma",D,285.0,NULL,NULL,3.0
BTEC,"Level 3","Foundation Diploma",D/M,265.0,NULL,NULL,2.6
BTEC,"Level 3","Foundation Diploma",M/D,245.0,NULL,NULL,2.3
BTEC,"Level 3","Foundation Diploma",M,225.0,NULL,NULL,2.0
BTEC,"Level 3","Foundation Diploma",M/P,205.0,NULL,NULL,1.6
BTEC,"Level 3","Foundation Diploma",P/M,185.0,NULL,NULL,1.3
BTEC,"Level 3","Foundation Diploma",P,165.0,NULL,NULL,1.0
BTEC,"Level 3","Subsidiary Diploma",D*,140.0,58.0,48.4,4.0
BTEC,"Level 3","Subsidiary Diploma",D*/D,133.3,48.4,46.6,3.6
BTEC,"Level 3","Subsidiary Diploma",D/D*,126.6,NULL,NULL,3.3
BTEC,"Level 3","Subsidiary Diploma",D,120.0,46.6,41.2,3.0
BTEC,"Level 3","Subsidiary Diploma",D/M,106.6,41.2,35.8,2.6
BTEC,"Level 3","Subsidiary Diploma",M/D,93.3,NULL,NULL,2.3
BTEC,"Level 3","Subsidiary Diploma",M,80.0,35.8,0.0,2.0
BTEC,"Level 3","Subsidiary Diploma",M/P,66.6,NULL,NULL,1.6
BTEC,"Level 3","Subsidiary Diploma",P/M,53.3,NULL,NULL,1.3
BTEC,"Level 3","Subsidiary Diploma",P,40.0,NULL,NULL,1.0
BTEC,"Level 2",Award,D*/D,0.0,NULL,NULL,3.6
BTEC,"Level 2",Award,D/D*,0.0,NULL,NULL,3.3
BTEC,"Level 2",Award,D/M,0.0,NULL,NULL,2.6
BTEC,"Level 2",Award,M/D,0.0,NULL,NULL,2.3
BTEC,"Level 2",Award,M/P,0.0,NULL,NULL,1.6
BTEC,"Level 2",Award,P/M,0.0,NULL,NULL,1.3
BTEC,"Level 2",Certificate,D*,0.0,NULL,NULL,4.0
BTEC,"Level 2",Certificate,D*/D,0.0,NULL,NULL,3.6
BTEC,"Level 2",Certificate,D/D*,0.0,NULL,NULL,3.3
BTEC,"Level 2",Certificate,D,0.0,NULL,NULL,3.0
BTEC,"Level 2",Certificate,D/M,0.0,NULL,NULL,2.6
BTEC,"Level 2",Certificate,M/D,0.0,NULL,NULL,2.3
BTEC,"Level 2",Certificate,M,0.0,NULL,NULL,2.0
BTEC,"Level 2",Certificate,M/P,0.0,NULL,NULL,1.6
BTEC,"Level 2",Certificate,P/M,0.0,NULL,NULL,1.3
BTEC,"Level 2",Certificate,P,0.0,NULL,NULL,1.0
BTEC,"Level 2",Diploma,D*,0.0,NULL,NULL,4.0
BTEC,"Level 2",Diploma,D*/D,0.0,NULL,NULL,3.6
BTEC,"Level 2",Diploma,D/D*,0.0,NULL,NULL,3.3
BTEC,"Level 2",Diploma,D,0.0,NULL,NULL,3.0
BTEC,"Level 2",Diploma,D/M,0.0,NULL,NULL,2.6
BTEC,"Level 2",Diploma,M/D,0.0,NULL,NULL,2.3
BTEC,"Level 2",Diploma,M,0.0,NULL,NULL,2.0
BTEC,"Level 2",Diploma,M/P,0.0,NULL,NULL,1.6
BTEC,"Level 2",Diploma,P/M,0.0,NULL,NULL,1.3
BTEC,"Level 2",Diploma,P,0.0,NULL,NULL,1.0
BTEC,"Level 2","Extended Certificate",D*,0.0,NULL,NULL,4.0
BTEC,"Level 2","Extended Certificate",D*/D,0.0,NULL,NULL,3.6
BTEC,"Level 2","Extended Certificate",D/D*,0.0,NULL,NULL,3.3
BTEC,"Level 2","Extended Certificate",D,0.0,NULL,NULL,3.0
BTEC,"Level 2","Extended Certificate",D/M,0.0,NULL,NULL,2.6
BTEC,"Level 2","Extended Certificate",M/D,0.0,NULL,NULL,2.3
BTEC,"Level 2","Extended Certificate",M,0.0,NULL,NULL,2.0
BTEC,"Level 2","Extended Certificate",M/P,0.0,NULL,NULL,1.6
BTEC,"Level 2","Extended Certificate",P/M,0.0,NULL,NULL,1.3
BTEC,"Level 2","Extended Certificate",P,0.0,NULL,NULL,1.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction *",0.0,NULL,NULL,6.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction */Level 2 Distinction",0.0,NULL,NULL,5.6
BTEC,"Level 1 & 2",Award,"Level 2 Distinction/Level 2 Distinction *",0.0,NULL,NULL,5.3
BTEC,"Level 1 & 2",Award,"Level 2 Distinction",0.0,NULL,NULL,5.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction/Level 2 Merit",0.0,NULL,NULL,4.6
BTEC,"Level 1 & 2",Award,"Level 2 Merit/Level 2 Distinction",0.0,NULL,NULL,4.3
BTEC,"Level 1 & 2",Award,"Level 2 Merit",0.0,NULL,NULL,4.0
BTEC,"Level 1 & 2",Award,"Level 2 Merit/Level 2 Pass",0.0,NULL,NULL,3.6
BTEC,"Level 1 & 2",Award,"Level 2 Pass/Level 2 Merit",0.0,NULL,NULL,3.3
BTEC,"Level 1 & 2",Award,"Level 2 Pass",0.0,NULL,NULL,3.0
BTEC,"Level 1 & 2",Award,"Level 2 Pass/Level 1",0.0,NULL,NULL,2.6
BTEC,"Level 1 & 2",Award,"Level 1/Level 2 Pass",0.0,NULL,NULL,2.3
BTEC,"Level 1 & 2",Award,"Level 1",0.0,NULL,NULL,2.0
BTEC,"Level 1 & 2",Award,"Level 1/U",0.0,NULL,NULL,1.6
BTEC,"Level 1 & 2",Award,"U/Level 1",0.0,NULL,NULL,1.3
BTEC,"Level 1 & 2",Award,U,0.0,NULL,NULL,1.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D*",0.0,NULL,NULL,9.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D*/Level 2 D*D",0.0,NULL,NULL,8.6
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D/Level 2 D*D*",0.0,NULL,NULL,8.3
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D",0.0,NULL,NULL,8.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D/Level 2 DD",0.0,NULL,NULL,7.6
BTEC,"Level 1 & 2",Certificate,"Level 2 DD/Level 2 D*D",0.0,NULL,NULL,7.3
BTEC,"Level 1 & 2",Certificate,"Level 2 DD",0.0,NULL,NULL,7.0
BTEC,"Level 1 & 2",Certificate,"Level 2 DD/Level 2 DM",0.0,NULL,NULL,6.6
BTEC,"Level 1 & 2",Certificate,"Level 2 DM/Level 2 DD",0.0,NULL,NULL,6.3
BTEC,"Level 1 & 2",Certificate,"Level 2 DM",0.0,NULL,NULL,6.0
BTEC,"Level 1 & 2",Certificate,"Level 2 DM/Level 2 MM",0.0,NULL,NULL,5.6
BTEC,"Level 1 & 2",Certificate,"Level 2 MM/Level 2 DM",0.0,NULL,NULL,5.3
BTEC,"Level 1 & 2",Certificate,"Level 2 MM",0.0,NULL,NULL,5.0
BTEC,"Level 1 & 2",Certificate,"Level 2 MM/Level 2 MP",0.0,NULL,NULL,4.6
BTEC,"Level 1 & 2",Certificate,"Level 2 MP/Level 2 MM",0.0,NULL,NULL,4.3
BTEC,"Level 1 & 2",Certificate,"Level 2 MP",0.0,NULL,NULL,4.0
