id,courseid,trackingqualificationid,userid,award,type,warning,dateupdated,overallgrade
1,,57,21726,MM/MP,Final,,
2,,57,21347,MP,Final,,
3,,96,21029,MMP,Predicted,,
4,,143,23333,DDM,Final,,
5,,57,22164,MP,Final,,
6,,57,22988,MP,Final,,
7,,57,13733,MM/MP,Final,,
8,,57,23325,MM/MP,Final,,
9,,57,23364,MP,Final,,
10,,143,25632,MMP,Predicted,,
11,,143,24859,PPP,Predicted,,
12,,57,23115,MM/MP,Final,,
13,,57,21879,MM/MP,Final,,
14,,57,14881,PP,Final,,
15,,57,22157,PP,Final,,
16,,57,24662,PP,Predicted,,
17,,57,22013,PP,Final,,
18,,143,27796,PPP,Predicted,,
19,,57,23117,PP,Final,,
20,,143,17591,MPP,Final,,
21,,143,14698,MPP,Final,,
22,,143,16418,MMM,Final,,
23,,96,21039,D*D*D*,Predicted,,
24,,96,24798,D*D*D*,Predicted,,
25,,96,21012,D*D*D*,Predicted,,
26,,96,21062,MMP,Predicted,,
27,,96,21022,D*D*D*,Predicted,,
28,,96,21042,MMP,Predicted,,
29,,96,21038,DDD,Predicted,,
30,,96,21141,DDD*,Predicted,,
31,,96,21035,D*D*D*,Predicted,,
32,,96,21146,D*D*D*,Predicted,,
33,,96,21015,MMP,Predicted,,
34,,96,21013,DMM,Predicted,,
35,,96,21132,DD*D*,Predicted,,
36,,96,21000,MMM,Predicted,,
37,,96,18661,DDM,Predicted,,
39,,143,23057,DD*D*,Final,,
40,,143,22202,DDD,Predicted,,
41,,143,24516,D*D*D*,Final,,
43,,143,14841,MMP,Final,,
44,,143,21768,D*D*D*,Final,,
45,,143,14819,MPP,Predicted,,
47,,57,14976,PP,Predicted,,
48,,57,25079,MM/MP,Final,,
49,,57,21749,MP,Predicted,,
50,,57,22053,PP,Predicted,,
51,,57,24588,PP,Predicted,,
52,,57,24216,PP,Final,,
53,,143,23324,MMP,Final,,
54,,143,14971,DMM,Final,,
55,,57,23202,MP,Final,,
56,,96,21047,MMP,Predicted,,
57,,96,20893,D*D*D*,Predicted,,
58,,96,21014,D*D*D*,Predicted,,
59,,96,21053,D*D*D*,Predicted,,
60,,96,21139,PPP,Predicted,,
61,,96,21049,MMM,Predicted,,
63,,96,19632,D*D*D*,Predicted,,
64,,96,21086,D*D*D*,Predicted,,
65,,96,21080,MPP,Predicted,,
66,,96,21078,D*D*D*,Predicted,,
67,,96,18607,MMP,Predicted,,
68,,96,20914,MMP,Predicted,,
69,,96,21095,MMP,Predicted,,
70,,96,20996,MMM,Predicted,,
71,,96,21140,MMP,Predicted,,
72,,96,20899,D*D*D*,Predicted,,
73,,96,21043,D*D*D*,Predicted,,
74,,96,21027,D*D*D*,Predicted,,
75,,43,18244,D*D*D*,Predicted,,
76,,96,21020,MMP,Predicted,,
77,,43,19352,D*D*D*,Predicted,,
78,,96,23252,DD*D*,Predicted,,
79,,96,21017,D*D*D*,Predicted,,
80,,96,21130,D*D*D*,Predicted,,
81,,96,12439,D*D*D*,Predicted,,
82,,96,25399,D*D*D*,Predicted,,
83,,96,21032,DDD*,Predicted,,
84,,43,23271,D*D*D*,Predicted,,
85,,96,21024,D*D*D*,Predicted,,
86,,98,26871,P,Predicted,,
87,,98,34556,D*,Final,,
88,,98,36870,D*,Final,,
89,,98,34638,D,Final,,
90,,98,29392,D*,Final,,
91,,98,24557,M,Final,,
92,,98,34566,M,Predicted,,
93,,96,21096,DMM,Predicted,,
94,,96,21002,DD*D*,Predicted,,
96,,57,24586,MP,Final,,
97,,57,23124,PP,Predicted,,
98,,57,22285,PP,Final,,
99,,143,24787,MPP,Final,,
100,,143,24585,MMP,Final,,
101,,57,21861,MM/MP,Final,,
102,,57,24123,PP,Final,,
103,,57,21873,D*D*,Predicted,,
104,,57,32987,PP,Final,,
105,,43,23162,D*D*D*,Predicted,,
109,,162,14894,DDD*,Final,,
110,,162,21157,MPP,Final,,
112,,162,24382,MMP,Final,,
113,,162,24384,D*D*D*,Final,,
116,,96,21100,DDD*,Predicted,,
117,,96,21097,D*D*D*,Predicted,,
118,,162,24420,DDD,Final,,
119,,162,24383,MMM,Final,,
120,,162,14970,MMP,Final,,
121,,43,18238,D*D*D*,Predicted,,
122,,43,19648,D*D*D*,Predicted,,
123,,43,23180,D*D*D*,Predicted,,
124,,43,18503,D*D*D*,Predicted,,
125,,43,23165,D*D*D*,Predicted,,
126,,43,19636,D*D*D*,Predicted,,
127,,43,23309,D*D*D*,Predicted,,
128,,43,24799,D*D*D*,Predicted,,
129,,43,23153,MMM,Predicted,,
131,,43,23310,D*D*D*,Predicted,,
132,,43,24831,DDM,Predicted,,
133,,96,24812,D*D*D*,Predicted,,
134,,96,21055,D*D*D*,Predicted,,
135,,96,21131,D*D*D*,Predicted,,
136,,96,21067,D*D*D*,Predicted,,
137,,96,21355,DD*D*,Predicted,,
138,,96,21018,D*D*D*,Predicted,,
139,,96,20975,DDD*,Predicted,,
140,,96,24795,D*D*D*,Predicted,,
141,,96,21033,DDD*,Predicted,,
142,,96,27788,D*D*D*,Predicted,,
143,,96,21061,D*D*D*,Predicted,,
145,,96,24848,D*D*D*,Predicted,,
146,,96,21026,D*D*D*,Predicted,,
147,,96,21003,D*D*D*,Predicted,,
148,,96,21109,D*D*D*,Predicted,,
149,,96,23132,DD*D*,Predicted,,
150,,12,23866,DD*D*,Predicted,,
151,,12,36806,MMP,Predicted,,
152,,103,21371,D*D*D*,Final,,
153,,103,21385,DMM,Final,,
154,,103,21325,D*D*D*,Final,,
155,,103,21339,MMM,Final,,
157,,103,21204,DD*D*,Final,,
158,,103,21407,MMP,Final,,
159,,409,27047,MP,Final,,
161,,92,23788,DDD,Final,,
162,,92,14967,DD*D*,Final,,
163,,92,23817,PPP,Predicted,,
164,,92,25345,MMM,Final,,
165,,92,23821,DDD*,Final,,
166,,92,24279,MMM,Final,,
167,,92,13769,MMP,Final,,
168,,96,20956,DMM,Predicted,,
169,,96,21046,DDD*,Predicted,,
170,,96,21101,D*D*D*,Predicted,,
172,,96,21025,MMP,Predicted,,
174,,130,23505,PP,Final,,
175,,12,36759,MMP,Predicted,,
176,,130,18075,DM/DD,Final,,
177,,130,18696,PP,Final,,
178,,130,19618,DM,Final,,
179,,130,18686,PP,Final,,
180,,131,24751,DDM,Final,,
181,,131,23490,DMM,Final,,
182,,131,23582,DDD*,Final,,
183,,131,24801,MMM,Final,,
185,,131,23554,D*D*D*,Final,,
186,,131,24811,MPP,Predicted,,
188,,131,23561,DDD*,Final,,
189,,131,23527,DMM,Final,,
191,,12,26046,PPP,Predicted,,
192,,12,36063,MPP,Predicted,,
193,,12,36805,PPP,Predicted,,
194,,12,25023,PPP,Predicted,,
195,,12,21370,MPP,Predicted,,
196,,12,36807,PPP,Predicted,,
197,,12,36808,PPP,Predicted,,
198,,12,23877,MMP,Final,,
