family,trackinglevel,subtype,targetgrade,ucaspoints,entryscoreupper,entryscorelower,unitsscoreupper,unitsscorelower,ranking
BTEC,"Level 3","Extended Diploma",D*D*D/D*DD,393.3,NULL,NULL,-1.00,NULL,8.6
BTEC,"Level 3","Extended Diploma",D*DD/D*D*D,386.6,NULL,NULL,-1.00,NULL,8.3
BTEC,"Level 3","Extended Diploma",D*DD,380.0,50.20,46.60,1559.00,1530.00,8.0
BTEC,"Level 3","Extended Diploma",D*DD/DDD,373.3,NULL,NULL,-1.00,NULL,7.6
BTEC,"Level 3","Extended Diploma",DDD/D*DD,366.6,NULL,NULL,-1.00,NULL,7.3
BTEC,"Level 3","Extended Diploma",DDD,360.0,46.60,44.80,1529.00,1500.00,7.0
BTEC,"Level 3","Extended Diploma",DDD/DDM,346.6,NULL,NULL,-1.00,NULL,6.6
BTEC,"Level 3","Extended Diploma",DDM/DDD,333.3,NULL,NULL,-1.00,NULL,6.3
BTEC,"Level 3","Extended Diploma",DDM,320.0,44.80,38.20,1499.00,1460.00,6.0
BTEC,"Level 3","Extended Diploma",DDM/DMM,306.6,NULL,NULL,-1.00,NULL,5.6
BTEC,"Level 3","Extended Diploma",DMM/DDM,293.3,NULL,NULL,-1.00,NULL,5.3
BTEC,"Level 3","Extended Diploma",DMM,280.0,38.20,34.00,1459.00,1420.00,5.0
BTEC,"Level 3","Extended Diploma",DMM/MMM,266.6,NULL,NULL,-1.00,NULL,4.6
BTEC,"Level 3","Extended Diploma",MMM/DMM,253.3,NULL,NULL,-1.00,NULL,4.3
BTEC,"Level 3","Extended Diploma",MMM,240.0,34.00,0.00,1419.00,1380.00,4.0
BTEC,"Level 3","Extended Diploma",MMM/MMP,226.6,NULL,NULL,-1.00,NULL,3.6
BTEC,"Level 3","Extended Diploma",MMP/MMM,213.3,NULL,NULL,-1.00,NULL,3.3
BTEC,"Level 3","Extended Diploma",MMP,200.0,NULL,NULL,1379.00,1340.00,3.0
BTEC,"Level 3","Extended Diploma",MMP/MPP,186.6,NULL,NULL,-1.00,NULL,2.6
BTEC,"Level 3","Extended Diploma",MPP/MMP,173.3,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 3","Extended Diploma",MPP,160.0,NULL,NULL,1339.00,1300.00,2.0
BTEC,"Level 3","Extended Diploma",MPP/PPP,146.6,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 3","Extended Diploma",PPP/MPP,133.3,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 3","Extended Diploma",PPP,120.0,NULL,NULL,1299.00,0.00,1.0
BTEC,"Level 3","Foundation Diploma",D,285.0,NULL,NULL,0.00,0.00,3.0
BTEC,"Level 3","Foundation Diploma",D/M,265.0,NULL,NULL,-1.00,NULL,2.6
BTEC,"Level 3","Foundation Diploma",M/D,245.0,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 3","Foundation Diploma",M,225.0,NULL,NULL,0.00,0.00,2.0
BTEC,"Level 3","Foundation Diploma",M/P,205.0,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 3","Foundation Diploma",P/M,185.0,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 3","Foundation Diploma",P,165.0,NULL,NULL,0.00,0.00,1.0
BTEC,"Level 3","Subsidiary Diploma",D*,140.0,58.00,48.40,1000.00,520.00,4.0
BTEC,"Level 3","Subsidiary Diploma",D*/D,133.3,48.40,46.60,-1.00,NULL,3.6
BTEC,"Level 3","Subsidiary Diploma",D/D*,126.6,NULL,NULL,-1.00,NULL,3.3
BTEC,"Level 3","Subsidiary Diploma",D,120.0,46.60,41.20,519.00,500.00,3.0
BTEC,"Level 3","Subsidiary Diploma",D/M,106.6,41.20,35.80,-1.00,NULL,2.6
BTEC,"Level 3","Subsidiary Diploma",M/D,93.3,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 3","Subsidiary Diploma",M,80.0,35.80,0.00,499.00,460.00,2.0
BTEC,"Level 3","Subsidiary Diploma",M/P,66.6,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 3","Subsidiary Diploma",P/M,53.3,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 3","Subsidiary Diploma",P,40.0,NULL,NULL,459.00,0.00,1.0
BTEC,"Level 2",Award,D*/D,0.0,NULL,NULL,-1.00,NULL,3.6
BTEC,"Level 2",Award,D/D*,0.0,NULL,NULL,-1.00,NULL,3.3
BTEC,"Level 2",Award,D/M,0.0,NULL,NULL,-1.00,NULL,2.6
BTEC,"Level 2",Award,M/D,0.0,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 2",Award,M/P,0.0,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 2",Award,P/M,0.0,NULL,NULL,-1.00,NULL,1.3
