courseid,userid
51,360
51,287
51,81
51,208
51,18978
51,40283
51,20878
51,35562
51,295
51,266
51,32618
51,26344
51,37522
51,25503
51,24678
51,37536
51,20557
51,231
51,494
51,51459
51,46089
51,48512
51,186
51,91
19247,20175
19247,38144
19247,20182
19247,37555
19248,53212
19248,36306
19258,20175
19258,20182
7874,285
7874,17246
7874,94
7874,106
7874,128
7874,150
7874,564
7874,551
7874,492
7874,507
7874,587
7874,19538
7874,374
7874,29178
7874,20618
7874,399
7874,51029
7874,52741
7874,27009
7874,35
56,285
56,581
56,148
56,601
56,408
56,35
56,11273
56,25
56,371
10691,20177
10691,20124
10691,20175
10691,20142
57,468
57,356
57,233
57,8
57,442
57,32535
57,36917
57,46502
58,282
58,69
58,373
58,223
58,162
58,193
58,405
58,603
58,579
58,269
58,709
58,37748
58,241
58,625
58,221
59,282
59,373
59,241
59,223
59,162
59,69
59,193
59,405
59,603
59,579
59,269
59,37748
59,625
59,221
60,33
60,677
60,46158
61,7
61,186
61,198
61,406
61,37
61,158
61,85
61,27
61,423
61,599
61,25503
61,53990
61,545
61,228
61,46641
61,706
61,51028
61,157
61,426
62,304
62,152
62,110
62,142
62,311
62,66
62,19084
62,163
62,20175
62,27275
62,27745
62,11278
62,267
62,39563
62,46640
62,20202
62,482
62,49123
10833,337
10833,401
10833,130
10833,334
10833,26346
10833,3
10833,30675
10833,381
10833,361
10480,163
10480,267
10480,66
10480,152
10480,19084
10480,311
10480,304
10480,142
10480,110
10480,27275
10480,32553
10480,27745
10480,11278
10480,39563
10480,20175
10480,46640
10780,25717
10780,345
10780,14
10780,687
10780,302
10780,515
10780,54070
10780,31004
10780,31667
10780,249
10780,20557
10780,49598
10780,34408
7885,27
7885,158
7885,406
7885,545
7885,599
7885,37
7885,30474
7885,53990
7885,46641
7885,27643
7885,20270
7885,423
7885,228
7885,157
7804,394
7804,38100
7804,254
7804,328
7804,43646
7804,43912
64,282
64,373
64,223
64,162
64,69
64,193
64,269
64,27538
64,37748
64,603
64,579
64,709
65,282
65,373
65,223
65,162
65,69
65,193
65,269
65,30474
65,37748
65,603
65,579
65,709
66,282
66,373
66,223
66,162
66,69
66,193
66,221
66,269
66,18973
66,37748
66,625
66,603
66,579
66,709
73,31
73,249
73,286
73,105
73,283
73,255
73,145
73,404
73,109
73,464
73,469
73,50823
73,485
73,11277
73,39855
73,246
73,383
74,31
74,249
74,286
74,109
74,469
74,105
74,50823
74,485
74,246
74,383
10743,492
10743,106
10743,150
10743,285
10709,254
10709,209
10709,31265
10709,38100
10709,328
10709,43646
10709,43912
10755,31154
10755,515
10755,49598
10755,409
10755,96
75,31
75,249
75,286
75,109
75,469
75,50823
75,485
75,105
75,37534
75,246
75,383
76,328
76,674
76,19529
76,46640
76,336
76,396
76,154
76,254
76,209
76,24679
76,38119
76,32553
76,31265
76,364
76,351
76,43646
76,43912
76,46964
76,50852
4018,16
4020,266
4020,11277
4020,433
4020,202
4020,421
4020,30930
4020,37509
18467,251
18467,210
18467,281
18467,605
18467,38151
18467,46
18467,273
18467,38146
18467,49059
18467,24234
18467,73
18467,263
18467,593
18467,307
18467,49869
18467,49868
18467,598
18467,562
18467,563
18467,632
18467,117
18467,159
18467,671
18467,320
18467,466
18467,713
18467,36118
18467,430
18467,594
14756,30221
14756,552
14756,20672
14757,30221
14757,552
14757,20672
10697,20124
10697,20175
10697,20142
10698,20124
10698,20880
10698,20177
10698,20175
10698,20142
7886,408
7886,581
4021,202
4022,411
4022,222
4022,677
4025,163
4025,267
4025,110
4025,152
4025,304
4025,311
4025,66
4025,19084
4025,142
4025,27275
4025,32553
4025,27745
4025,11278
4025,39563
4025,20175
4025,46640
4027,40283
4027,231
4032,40283
4032,263
4032,555
4032,349
4032,99
4032,650
4032,20878
4032,37522
4032,231
4033,263
4033,99
4033,650
4033,555
4033,349
4033,20878
4033,40283
4033,37522
4033,231
4034,263
4034,40283
4034,650
4034,555
4034,349
4034,99
4034,20878
4034,37522
4034,231
4035,40283
4035,231
4036,263
4036,40283
4036,99
4036,555
4036,349
4036,650
4036,20878
4036,27220
4036,37522
4036,231
4037,263
4037,40283
4037,231
4038,263
4038,99
4038,40283
4038,231
4039,263
4039,99
4039,40283
4039,349
4039,650
4039,555
4039,20878
4039,27220
4039,37522
4039,231
4017,16
4017,20125
4017,40
4017,129
4017,433
4017,202
77,328
77,351
77,209
77,62
77,253
77,364
77,31265
77,43646
77,43912
78,396
78,172
78,209
78,27643
78,31265
78,328
78,43646
78,43912
79,336
79,351
79,209
79,38119
79,31265
79,328
79,43646
79,43912
79,396
8010,20635
8010,20210
8010,259
8010,604
8010,25486
8010,17470
8010,32618
8010,17247
8010,167
8010,327
80,396
80,172
80,209
80,27643
80,31265
80,328
80,43646
80,43912
7801,394
7801,254
7801,31265
7801,38100
7801,328
7801,43646
7801,43912
7802,254
7802,209
7802,31265
7802,38100
7802,328
7802,43646
7802,43912
7803,394
7803,254
7803,31265
7803,38100
7803,328
7803,43646
7803,43912
7805,475
7805,452
7805,18291
7805,18292
7805,18293
7805,18294
7805,11206
7805,18297
7805,18299
7805,18300
7805,18301
7805,37539
7805,46960
7805,31154
7805,49598
7805,409
7805,96
7807,469
7807,452
7807,18291
7807,18292
7807,18293
7807,18294
7807,18297
7807,18299
7807,18300
7807,18301
7807,46960
7807,31154
7807,49598
7807,409
7807,96
82,328
82,62
82,351
82,209
82,253
82,260
82,19529
82,364
82,31265
82,43646
82,43912
83,396
83,172
83,209
83,27643
83,31265
83,328
83,43646
83,43912
7837,19940
7837,29024
7837,20157
7837,20181
7837,20127
7837,20124
7837,20171
7837,20611
7837,20177
7837,32618
7837,32624
7837,20175
7837,34537
7837,40294
7837,27128
7837,46959
7837,20140
7837,49175
7837,20142
7837,63
7837,20699
7837,20608
7837,20659
7837,20205
7848,20175
7848,20699
7848,20659
7849,23940
7849,20183
7849,20173
7849,20124
7849,20177
7849,20175
7849,20142
7849,20699
7849,20659
7850,23940
7850,20183
7850,20173
7850,20124
7850,20194
7850,43801
7850,20175
7850,20142
7850,20699
7850,20659
7851,26663
7851,20186
7851,20190
7851,20182
7851,20164
7851,20194
7851,20151
7851,20177
7851,27600
7851,20124
7851,32618
7851,299
7851,20175
7851,37555
7851,38144
7851,30073
7851,20142
7851,20585
7851,20699
7851,20659
7851,20140
7851,20205
7824,143
7824,380
7824,28137
7853,20128
7853,20194
7853,20175
7853,20195
7853,20129
7853,20179
7853,20184
7853,29721
7853,19940
7853,20196
7853,20156
7853,20205
7853,20171
7853,20164
7853,20691
7853,20693
7853,20611
7853,20177
7853,20139
7853,31925
7853,32618
7853,34418
7853,34534
7853,34405
7853,37516
7853,37490
7853,20585
7853,20140
7853,39470
7853,27128
7853,20151
7853,20163
7853,49175
7853,49551
7853,20142
7853,51532
7853,19535
7853,20699
7853,20608
7853,20659
7853,39437
7854,20194
7854,20699
7854,20175
7854,20195
7854,20129
7854,20179
7854,20184
7854,29721
7854,19940
7854,20196
7854,20205
7854,20156
7854,20171
7854,20128
7854,20693
7854,20197
7854,20608
7854,20139
7854,20659
7854,20691
7854,20177
7854,31925
7854,32618
7854,34418
7854,20611
7854,34534
7854,37490
7854,39437
7854,39470
7854,37516
7854,27128
7854,20151
7854,20163
7854,47526
7854,20140
7854,49175
7854,49551
7854,34405
7854,20142
7854,51532
7854,19535
10831,33
10831,54
10831,27745
10831,677
14131,130
14131,381
14131,361
14146,40283
14146,295
14146,231
14146,48512
14154,32547
14154,17
14154,38119
14154,31265
14158,105
14158,469
14158,27741
14158,31
14158,286
14158,11277
14158,46960
14158,246
14158,383
86,200
86,392
86,663
86,28137
88,426
88,28137
10779,381
7860,20175
7860,20178
7860,20133
7861,26
89,448
89,358
90,358
90,448
90,35975
10493,358
10493,448
18335,28137
18335,24235
18335,426
18335,48890
18335,26034
18335,448
18335,358
18335,46956
18335,46957
18336,48890
18336,46957
18336,358
18336,26034
18336,46956
18336,448
18336,24235
18336,426
18336,28137
18337,46956
18337,48890
18337,358
18337,448
18337,26034
18337,24235
18337,426
18337,28137
18338,46957
18338,48890
18338,46956
18338,358
18338,448
18338,26034
18338,24235
18338,426
18338,28137
18338,38147
18338,46955
18338,50851
18339,52813
18339,11273
18339,77
18339,96
18339,242
18339,408
18339,23696
18339,25216
18339,24234
18339,475
18339,61
18339,27743
18339,464
18339,381
18339,116
18339,253
18339,14
18339,687
18339,345
18339,567
18339,24447
18339,27220
18339,538
18339,27744
18339,99
18339,555
18339,177
18339,287
18339,360
18339,26494
18339,302
18339,46089
18339,46963
18339,20856
18339,452
18339,18291
18339,18292
18339,18293
18339,18294
18339,18297
18339,18299
18339,18300
18339,18301
18339,28855
18339,28857
18339,28856
18339,85
18339,7
18339,31
18339,283
18339,510
18339,263
18339,650
18339,27742
18339,349
18339,20878
18339,255
18339,37539
92,448
92,35975
92,26034
92,358
92,28137
92,24235
92,48890
94,220
94,294
94,677
94,46158
95,400
95,205
95,677
95,32618
95,46158
96,400
96,677
97,263
97,349
97,650
97,40283
97,555
97,99
97,20878
97,27220
97,37522
97,231
99,263
99,555
99,650
99,349
99,40283
99,27009
99,27220
99,32332
99,37522
99,24447
99,231
100,263
100,555
100,650
100,349
100,40283
100,27009
100,27220
100,37522
100,24447
100,231
100,32332
101,263
101,555
101,650
101,349
101,40283
101,27220
101,37522
101,24447
101,231
101,32332
102,411
102,222
102,623
102,677
18299,46265
18299,358
18299,200
18299,45518
18299,380
18299,663
18299,317
18299,426
18299,87
18299,35975
18299,47236
18299,50265
18299,47414
103,222
103,411
103,623
103,677
105,233
105,8
105,356
105,442
105,36917
7982,91
7982,178
7982,25
7982,40283
7982,295
7982,285
7982,37522
7982,231
7982,20850
106,356
106,233
106,8
106,442
106,36917
107,282
107,269
107,373
107,223
107,162
107,69
107,193
107,405
107,603
107,579
107,625
107,18898
107,709
107,646
107,57
107,37748
107,39478
108,282
108,373
108,57
108,223
108,162
108,69
108,193
108,405
108,221
108,579
108,603
108,269
108,18898
108,709
108,646
108,37748
108,39478
109,282
109,373
109,223
109,162
109,69
109,193
109,405
109,579
109,646
109,709
109,25711
109,57
109,37748
109,39478
7795,148
7795,408
7795,40417
7795,166
110,282
110,373
110,625
110,115
110,405
110,221
110,25693
110,27872
110,37748
110,35620
110,28137
110,38147
110,426
