id,userid,trackingqualificationid,trackingunitid,award,comments,dateupdated,userdefinedvalue,shortvalue,setbyuserid,updatedbyuserid,dateset
37322,34287,22,32,Distinction,,,,,,,
37433,34923,22,117,,,,,,,,
35295,21140,96,577,Pass,,,,,,,
16009,34676,57,252,,,,,,,,
108217,36111,505,256,Merit,,,,,,,
37432,36117,22,117,,,,,,,,
15937,22058,57,253,,,,,,,,
36347,15986,116,214,,,,,,,,
16008,34521,57,258,,,,,,,,
37321,34259,22,32,,,,,,,,
48915,23427,176,336,Merit,,,,,,,
15938,22058,57,258,,,,,,,,
37424,34261,22,117,Distinction,,,,,,,
16007,34521,57,253,,,,,,,,
94720,25981,437,710,Pass,,,,,,,
36535,25044,116,202,,,,,,,,
37404,19580,22,369,,,,,,,,
16006,34521,57,255,,,,,,,,
37324,34366,22,32,Pass,,,,,,,
37442,37409,22,349,Pass,,,,,,,
61058,16739,116,769,,,,,,,,
37464,35956,22,349,Pass,,,,,,,
16005,34521,57,250,,,,,,,,
37309,21424,22,32,Pass,,,,,,,
37445,23152,22,349,Pass,,,,,,,
36534,25044,116,201,,,,,,,,
37454,34287,22,349,Distinction,,,,,,,
16004,34521,57,251,,,,,,,,
37312,34297,22,32,Pass,,,,,,,
37413,34326,22,117,Distinction,,,,,,,
36350,15986,116,217,,,,,,,,
78319,46146,112,185,,,,,,,,
78318,46146,112,184,,,,,,,,
78317,46146,112,22,,,,,,,,
78316,46146,112,183,,,,,,,,
78315,46146,112,16,,,,,,,,
78314,46146,112,15,,,,,,,,
78313,46146,112,14,,,,,,,,
78311,46146,112,12,,,,,,,,
78310,46146,112,11,,,,,,,,
78109,42367,397,469,,,,,,,,
78110,42367,397,470,,,,,,,,
78111,42367,397,471,,,,,,,,
78112,42367,397,472,,,,,,,,
78113,42367,397,475,,,,,,,,
78114,46097,397,11,,,,,,,,
78115,46097,397,12,,,,,,,,
78116,46097,397,13,,,,,,,,
78117,46097,397,14,,,,,,,,
78118,46097,397,15,,,,,,,,
78119,46097,397,469,,,,,,,,
78120,46097,397,470,,,,,,,,
78121,46097,397,471,,,,,,,,
78122,46097,397,472,,,,,,,,
78123,46097,397,475,,,,,,,,
78124,46366,397,11,,,,,,,,
78125,46366,397,12,,,,,,,,
78126,46366,397,13,,,,,,,,
78127,46366,397,14,,,,,,,,
78128,46366,397,15,,,,,,,,
78129,46366,397,469,,,,,,,,
78130,46366,397,470,,,,,,,,
78131,46366,397,471,,,,,,,,
78132,46366,397,472,,,,,,,,
78133,46366,397,475,,,,,,,,
78134,42515,397,11,,,,,,,,
78135,42515,397,12,,,,,,,,
78136,42515,397,13,,,,,,,,
78137,42515,397,14,,,,,,,,
78138,42515,397,15,,,,,,,,
78139,42515,397,469,,,,,,,,
78140,42515,397,470,,,,,,,,
78141,42515,397,471,,,,,,,,
78142,42515,397,472,,,,,,,,
78143,42515,397,475,,,,,,,,
78144,35958,397,11,,,,,,,,
78145,35958,397,12,,,,,,,,
78146,35958,397,13,,,,,,,,
78147,35958,397,14,,,,,,,,
78148,35958,397,15,,,,,,,,
78149,35958,397,469,,,,,,,,
78150,35958,397,470,,,,,,,,
78151,35958,397,471,,,,,,,,
78152,35958,397,472,,,,,,,,
78153,35958,397,475,,,,,,,,
78154,43217,112,11,,,,,,,,
78155,43217,112,12,,,,,,,,
78156,43217,112,13,,,,,,,,
78157,43217,112,14,,,,,,,,
78158,43217,112,15,,,,,,,,
78159,43217,112,16,,,,,,,,
78160,43217,112,183,,,,,,,,
78161,43217,112,22,,,,,,,,
78162,43217,112,184,,,,,,,,
78163,43217,112,185,,,,,,,,
78164,43217,112,186,,,,,,,,
78165,43217,112,187,,,,,,,,
78166,43217,112,188,,,,,,,,
78167,43217,112,189,,,,,,,,
78168,43217,112,190,,,,,,,,
78169,43217,112,191,,,,,,,,
78170,43217,112,467,,,,,,,,
78171,43217,112,468,,,,,,,,
78172,43217,112,469,,,,,,,,
78173,43217,112,470,,,,,,,,
78174,43217,112,471,,,,,,,,
78175,43217,112,472,,,,,,,,
78176,43217,112,473,,,,,,,,
78177,43217,112,474,,,,,,,,
78178,43217,112,475,,,,,,,,
78179,43217,112,822,,,,,,,,
78180,35860,112,11,,,,,,,,
78181,35860,112,12,,,,,,,,
78182,35860,112,13,,,,,,,,
78183,35860,112,14,,,,,,,,
78184,35860,112,15,,,,,,,,
78185,35860,112,16,,,,,,,,
78186,35860,112,183,,,,,,,,
78187,35860,112,22,,,,,,,,
78188,35860,112,184,,,,,,,,
78189,35860,112,185,,,,,,,,
78190,35860,112,186,,,,,,,,
78191,35860,112,187,,,,,,,,
78192,35860,112,188,,,,,,,,
78193,35860,112,189,,,,,,,,
78194,35860,112,190,,,,,,,,
78195,35860,112,191,,,,,,,,
78196,35860,112,467,,,,,,,,
78197,35860,112,468,,,,,,,,
78198,35860,112,469,,,,,,,,
78199,35860,112,470,,,,,,,,
78200,35860,112,471,,,,,,,,
78201,35860,112,472,,,,,,,,
78202,35860,112,473,,,,,,,,
78203,35860,112,474,,,,,,,,
78204,35860,112,475,,,,,,,,
78205,35860,112,822,,,,,,,,
78206,36147,112,11,,,,,,,,
78207,36147,112,12,,,,,,,,
78208,36147,112,13,,,,,,,,
78209,36147,112,14,,,,,,,,
78210,36147,112,15,,,,,,,,
78211,36147,112,16,,,,,,,,
78212,36147,112,183,,,,,,,,
78213,36147,112,22,,,,,,,,
78214,36147,112,184,,,,,,,,
78215,36147,112,185,,,,,,,,
78216,36147,112,186,,,,,,,,
78217,36147,112,187,,,,,,,,
78218,36147,112,188,,,,,,,,
78219,36147,112,189,,,,,,,,
78220,36147,112,190,,,,,,,,
78221,36147,112,191,,,,,,,,
78222,36147,112,467,,,,,,,,
78223,36147,112,468,,,,,,,,
78224,36147,112,469,,,,,,,,
78225,36147,112,470,,,,,,,,
78226,36147,112,471,,,,,,,,
78227,36147,112,472,,,,,,,,
78228,36147,112,473,,,,,,,,
78229,36147,112,474,,,,,,,,
78230,36147,112,475,,,,,,,,
78231,36147,112,822,,,,,,,,
78232,42431,112,11,,,,,,,,
78233,42431,112,12,,,,,,,,
78234,42431,112,13,,,,,,,,
78235,42431,112,14,,,,,,,,
78236,42431,112,15,,,,,,,,
78237,42431,112,16,,,,,,,,
78238,42431,112,183,,,,,,,,
78239,42431,112,22,,,,,,,,
78240,42431,112,184,,,,,,,,
78241,42431,112,185,,,,,,,,
78242,42431,112,186,,,,,,,,
78243,42431,112,187,,,,,,,,
78244,42431,112,188,,,,,,,,
78245,42431,112,189,,,,,,,,
78246,42431,112,190,,,,,,,,
78247,42431,112,191,,,,,,,,
78248,42431,112,467,,,,,,,,
78249,42431,112,468,,,,,,,,
78250,42431,112,469,,,,,,,,
78251,42431,112,470,,,,,,,,
78252,42431,112,471,,,,,,,,
78253,42431,112,472,,,,,,,,
78254,42431,112,473,,,,,,,,
78255,42431,112,474,,,,,,,,
78256,42431,112,475,,,,,,,,
78257,42431,112,822,,,,,,,,
78258,42546,112,11,,,,,,,,
78259,42546,112,12,,,,,,,,
78260,42546,112,13,,,,,,,,
78261,42546,112,14,,,,,,,,
78262,42546,112,15,,,,,,,,
78263,42546,112,16,,,,,,,,
78264,42546,112,183,,,,,,,,
78265,42546,112,22,,,,,,,,
78266,42546,112,184,,,,,,,,
78267,42546,112,185,,,,,,,,
78268,42546,112,186,,,,,,,,
78269,42546,112,187,,,,,,,,
78270,42546,112,188,,,,,,,,
78271,42546,112,189,,,,,,,,
78272,42546,112,190,,,,,,,,
78273,42546,112,191,,,,,,,,
78274,42546,112,467,,,,,,,,
78275,42546,112,468,,,,,,,,
78276,42546,112,469,,,,,,,,
78277,42546,112,470,,,,,,,,
78278,42546,112,471,,,,,,,,
78279,42546,112,472,,,,,,,,
78280,42546,112,473,,,,,,,,
78281,42546,112,474,,,,,,,,
78282,42546,112,475,,,,,,,,
78283,42546,112,822,,,,,,,,
78284,22622,112,11,,,,,,,,
78285,22622,112,12,,,,,,,,
78286,22622,112,13,,,,,,,,
78287,22622,112,14,,,,,,,,
78288,22622,112,15,,,,,,,,
78289,22622,112,16,,,,,,,,
78290,22622,112,183,,,,,,,,
78291,22622,112,22,,,,,,,,
78292,22622,112,184,,,,,,,,
78293,22622,112,185,,,,,,,,
78294,22622,112,186,,,,,,,,
78295,22622,112,187,,,,,,,,
78296,22622,112,188,,,,,,,,
78297,22622,112,189,,,,,,,,
78298,22622,112,190,,,,,,,,
78299,22622,112,191,,,,,,,,
78300,22622,112,467,,,,,,,,
78301,22622,112,468,,,,,,,,
78302,22622,112,469,,,,,,,,
78303,22622,112,470,,,,,,,,
78304,22622,112,471,,,,,,,,
78305,22622,112,472,,,,,,,,
78306,22622,112,473,,,,,,,,
78307,22622,112,474,,,,,,,,
78308,22622,112,475,,,,,,,,
78309,22622,112,822,,,,,,,,
78057,42275,397,14,,,,,,,,
78056,42275,397,13,,,,,,,,
78036,42561,397,13,,,,,,,,
78037,42561,397,14,,,,,,,,
78038,42561,397,15,,,,,,,,
78039,42561,397,469,,,,,,,,
78040,42561,397,470,,,,,,,,
78041,42561,397,471,,,,,,,,
78042,42561,397,472,,,,,,,,
78043,42561,397,475,,,,,,,,
78044,46103,397,11,,,,,,,,
78045,46103,397,12,,,,,,,,
78046,46103,397,13,,,,,,,,
78047,46103,397,14,,,,,,,,
78048,46103,397,15,,,,,,,,
78049,46103,397,469,,,,,,,,
78050,46103,397,470,,,,,,,,
78051,46103,397,471,,,,,,,,
78052,46103,397,472,,,,,,,,
78053,46103,397,475,,,,,,,,
78054,42275,397,11,,,,,,,,
78055,42275,397,12,,,,,,,,
78035,42561,397,12,,,,,,,,
78034,42561,397,11,,,,,,,,
78033,46110,397,475,,,,,,,,
78032,46110,397,472,,,,,,,,
77992,34293,148,13,,,,,,,,
77993,34293,148,14,,,,,,,,
77994,34293,148,15,,,,,,,,
77995,34293,148,16,,,,,,,,
77996,34293,148,183,,,,,,,,
77997,34293,148,17,,,,,,,,
77998,34293,148,372,,,,,,,,
77999,34293,148,373,,,,,,,,
78000,34293,148,374,,,,,,,,
78001,34293,148,375,,,,,,,,
