qualid,percentage,coefficient,number
1,100,1.46,1
1,90,1.28,2
1,75,1.21,3
1,60,1.16,4
1,40,1.1,5
1,25,1.05,6
1,10,0.95,7
1,0,0.68,8
1,0,0,9
2,100,1.26,1
2,90,1.05,2
2,75,0.99,3
2,60,0.94,4
2,40,0.86,5
2,25,0.81,6
2,10,0.74,7
2,0,0.57,8
2,0,0,9
